ticker,company,date,n_articles,n_positive,n_negative,n_neutral,sentiment_mean,sentiment_wavg,polarity_ratio,sentiment_std,close,ret_0d,ret_1d,ret_2d,ret_5d,abs_move,sentiment_wavg_lag1,polarity_ratio_lag1,sentiment_mean_lag1,signal_strength
ASIANPAINT.NS,Asian Paints,2026-03-16,1.0,0.0,1.0,0.0,-0.9639285802841187,-0.9639285802841187,-1.0,,2217.699951171875,0.009513793644942314,0.009243811359227028,0.02002080870359091,-0.04346841523480682,0.009243811359227028,,,,0.6681443776850877
ASIANPAINT.NS,Asian Paints,2026-03-17,1.0,0.0,1.0,0.0,-0.9664302468299866,-0.9664302468299866,-1.0,,2238.199951171875,0.009243811359227028,0.010678289252870954,-0.023322291265596817,-0.009337817353095357,0.010678289252870954,-0.9639285802841187,-1.0,-0.9639285802841187,0.6698784007980572
ASIANPAINT.NS,Asian Paints,2026-03-19,1.0,0.0,1.0,0.0,-0.9725406765937805,-0.9725406765937805,-1.0,,2186.0,-0.033641348468662735,0.004300046817818037,-0.029597415906621682,0.009789525317360548,0.004300046817818037,-0.9664302468299866,-1.0,-0.9664302468299866,0.6741138279608405
ASIANPAINT.NS,Asian Paints,2026-03-24,4.0,3.0,0.0,1.0,0.6936543136835098,0.7020428135781069,0.75,0.4625075136307177,2217.300048828125,0.04525526695435356,0.02385780055870579,-0.004464955696730111,-0.021783271440260044,0.02385780055870579,-0.9725406765937805,-1.0,-0.9725406765937805,1.1298943203245106
ASIANPAINT.NS,Asian Paints,2026-03-25,2.0,1.0,1.0,0.0,-0.015122324228286743,-0.030244648456573486,0.0,1.3399178986082128,2270.199951171875,0.02385780055870579,-0.02766278309349257,-0.0462514325867196,-0.03783803373769279,0.02766278309349257,0.7020428135781069,0.75,0.6936543136835098,0.03322714246083861
ASIANPAINT.NS,Asian Paints,2026-04-02,5.0,3.0,1.0,1.0,0.25520346164703367,0.1947013672303451,0.4,0.7617979734835943,2169.0,-0.02551893592509802,0.0070539644205278584,0.007929899111053462,0.08838172022677493,0.0070539644205278584,-0.030244648456573486,0.0,-0.015122324228286743,0.34885801840661973
ASIANPAINT.NS,Asian Paints,2026-04-07,1.0,0.0,1.0,0.0,-0.9743398427963257,-0.9743398427963257,-1.0,,2186.199951171875,0.0008697991582105047,0.04400327203388166,0.03814845318227622,,0.04400327203388166,0.1947013672303451,0.4,0.25520346164703367,0.6753609149414934
ASIANPAINT.NS,Asian Paints,2026-04-08,4.0,2.0,2.0,0.0,0.10119952261447906,0.17219203151281529,0.0,0.9703081222749426,2282.39990234375,0.04400327203388166,-0.005608046457746596,0.03430601655201637,,0.005608046457746596,-0.9743398427963257,-1.0,-0.9743398427963257,0.27713238373577226
ASIANPAINT.NS,Asian Paints,2026-04-10,6.0,3.0,3.0,0.0,0.145280991991361,0.25815267086822336,0.0,0.8906948056412898,2360.699951171875,0.04013916531361672,,,,,0.17219203151281529,0.0,0.10119952261447906,0.5023419022482117
BAJFINANCE.NS,Bajaj Finance,2026-03-16,3.0,2.0,1.0,0.0,0.19353848695755005,0.12895363571283924,0.3333333333333333,1.023516479062872,878.1500244140625,0.027016007193589875,-0.010875190528517265,0.00222052168497755,-0.07464561522031798,0.010875190528517265,,,,0.1787676980346176
