ticker,company,ic,p_value,n_obs,significant
TCS.NS,Tata Consultancy,-0.05294117647058824,0.8456104411493658,16,False
MARUTI.NS,Maruti Suzuki,-0.10989010989010989,0.7208097995138618,13,False
BAJFINANCE.NS,Bajaj Finance,-0.2029411764705882,0.45096124172270946,16,False
ASIANPAINT.NS,Asian Paints,-0.2142857142857143,0.6103444156452669,8,False
ALL,All Companies,-0.22202006072304317,0.022829033800165315,105,True
RELIANCE.NS,Reliance Industries,-0.3421666902363703,0.23112028746280125,14,False
ICICIBANK.NS,ICICI Bank,-0.3529411764705882,0.17995865788498183,16,False
SUNPHARMA.NS,Sun Pharma,-0.4000000000000001,0.22286835013352002,11,False
